city_state,total,unsolved
"Albuquerque, NM",378,75
"Atlanta, GA",973,172
"Baltimore, MD",2827,906
"Baton Rouge, LA",424,102
"Birmingham, AL",800,192
"Boston, MA",614,154
"Buffalo, NY",521,157
"Charlotte, NC",687,101
"Chicago, IL",5535,2046
"Cincinnati, OH",694,151
"Columbus, OH",1084,308
"Dallas, TX",1567,381
"Denver, CO",312,82
"Detroit, MI",2519,739
"Durham, NC",276,51
"Fort Worth, TX",549,125
"Fresno, CA",487,88
"Houston, TX",2942,705
"Indianapolis, IN",1322,309
"Jacksonville, FL",1168,305
"Kansas City, MO",1190,251
"Las Vegas, NV",1381,274
"Long Beach, CA",378,81
"Los Angeles, CA",2257,551
"Louisville, KY",576,139
"Memphis, TN",1514,259
"Miami, FL",744,225
"Milwaukee, wI",1115,197
"Minneapolis, MN",366,89
"Nashville, TN",767,130
"New Orleans, LA",1434,479
"New York, NY",627,102
"Oakland, CA",947,255
"Oklahoma City, OK",672,158
"Omaha, NE",409,80
"Philadelphia, PA",3037,684
"Phoenix, AZ",914,250
"Pittsburgh, PA",631,169
"Richmond, VA",429,53
"Sacramento, CA",376,71
"San Antonio, TX",833,178
"San Bernardino, CA",275,82
"San Diego, CA",461,81
"San Francisco, CA",663,166
"Savannah, GA",246,50
"St. Louis, MO",1677,449
"Stockton, CA",444,136
"Tampa, FL",208,56
"Tulsa, AL",1,0
"Tulsa, OK",583,83
"Washington, DC",1345,306
